id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
3047,Machine Learning,medium,What is the purpose of a 'validation set'?,To train the model.,"To provide a final, unbiased evaluation of the model.",To tune the model's hyperparameters and make decisions about the model's architecture.,To collect more data.,c,"The validation set is used during the training phase to see how the model is performing on unseen data. This helps in selecting the best model configuration (e.g., the right learning rate) without 'contaminating' the test set.",,,,,,,,,,,,,
3048,Operating Systems,medium,What is a 'system bus'?,A mode of public transportation for OS developers.,A single computer bus that connects the major components of a computer system.,A software for managing system services.,A queue for system calls.,b,"The system bus combines the functions of a data bus to carry information, an address bus to determine where it should be sent, and a control bus to determine its operation.",,,,,,,,,,,,,
3049,Networking,medium,What is a 'DNS record'?,A record of all visited websites.,A database record used to map a URL to an IP address.,A log file on a DNS server.,A security certificate.,b,"DNS servers store different types of records. The most common is the 'A' record, which maps a domain name to an IPv4 address. Other types include 'AAAA' (for IPv6), 'MX' (for mail servers), and 'CNAME' (for aliases).",,,,,,,,,,,,,
3050,Web Development,medium,What is 'minification'?,The process of making a website smaller in physical dimensions.,The process of removing all unnecessary characters from source code without changing its functionality.,A way to create a minimal version of a website.,A security technique.,b,"Minification removes characters like whitespace, comments, and newlines, and shortens variable names. This reduces the file size of assets like JavaScript, CSS, and HTML, which makes the website load faster.",,,,,,,,,,,,,
3051,Python,easy,What does the `.lower()` string method do?,Converts the string to uppercase.,Capitalizes the first letter.,Converts the string to lowercase.,Swaps the case of letters.,c,The `.lower()` method returns a copy of the string with all the cased characters converted to lowercase.,,,,,,,,,,,,,
3052,SQL,easy,Which operator is used to test for equality in a `WHERE` clause?,==,=,EQUALS,:=,b,The single equals sign (`=`) is the standard SQL operator for checking if two values are equal.,,,,,,,,,,,,,
3053,Data Structures,easy,What is the main characteristic of a linear data structure?,Elements are arranged in a hierarchical manner.,Elements are arranged in a sequential or linear fashion.,Elements are not connected to each other.,Elements can be accessed randomly.,b,"In linear data structures like arrays, lists, stacks, and queues, elements form a sequence.",,,,,,,,,,,,,
3054,Algorithms,easy,What is an 'edge case' in programming?,The case where the program runs most efficiently.,A problem or situation that occurs only at an extreme (maximum or minimum) operating parameter.,A common use case.,A case that has already been tested.,b,"Edge cases are important to consider during testing to ensure an algorithm is robust. Examples include empty arrays, arrays with one element, or the largest possible input value.",,,,,,,,,,,,,
3055,Machine Learning,easy,What is 'unsupervised learning'?,Learning from data that has labeled outcomes.,Learning from data that has not been labeled or categorized.,A type of learning that requires constant human supervision.,Learning by trial and error.,b,"In unsupervised learning, the algorithm tries to find patterns and structure in the data on its own, without explicit labels. Clustering is a common example.",,,,,,,,,,,,,
3056,Operating Systems,easy,What happens when you 'delete' a file from the Recycle Bin or Trash?,The file is compressed.,The file is moved to a temporary folder.,The file is permanently removed from the storage device.,The file is encrypted.,c,"Once a file is emptied from the Recycle Bin or Trash, the space it occupied is marked as available, and the file is generally no longer recoverable by standard OS means.",,,,,,,,,,,,,
3057,Networking,easy,What is a 'web browser'?,A program used to write website code.,A computer that hosts websites.,A software application for accessing information on the World Wide Web.,A type of network cable.,c,"Common web browsers like Chrome, Firefox, and Safari interpret HTML, CSS, and JavaScript to render web pages for the user.",,,,,,,,,,,,,
3058,Web Development,easy,"In CSS, which property is used to change the background color of an element?",color,background-color,bgcolor,background,b,The `background-color` property sets the background color of an HTML element.,,,,,,,,,,,,,
3059,Python,medium,What is the difference between `list.sort()` and `sorted(list)`?,`sorted()` is faster.,"`list.sort()` sorts the list in-place and returns `None`; `sorted()` returns a new sorted list, leaving the original unchanged.",`list.sort()` can only sort numbers.,There is no difference.,b,"`list.sort()` modifies the list directly. `sorted()` is a built-in function that can sort any iterable, not just lists, and always returns a new list.",,,,,,,,,,,,,
3060,SQL,medium,What is a 'subquery' or 'inner query'?,A query that is very fast.,A query that is nested inside another SQL query.,A query used to create a table.,A query that has been saved for later use.,b,"Subqueries can be used in `SELECT`, `INSERT`, `UPDATE`, or `DELETE` statements, often within a `WHERE` or `HAVING` clause, to return data that will be used in the main query.",,,,,,,,,,,,,
