id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
1000,Operating Systems,hard,What is 'memory compaction'?,To reduce the amount of physical RAM,To increase the size of virtual memory,To move all allocated memory blocks to one end of memory to create a single large free block,To compress data in memory,c,"Memory compaction is a technique used in memory management to resolve the problem of external fragmentation. It involves moving all the allocated memory blocks to one side of the memory to consolidate all free space into a single, contiguous block."
1001,SQL,medium,What is the purpose of an index in a database?,To define data types for columns,To prevent duplicate data,To speed up data retrieval,To enforce data integrity,c,"An index is a data structure that improves the speed of data retrieval operations on a database table. It works like an index in a book, providing a quick way to look up data without scanning the entire table."
1006,SQL,medium,What does the HAVING clause do?,Filters rows before grouping,Filters rows after grouping,Used with WHERE for more complex filtering,It is a deprecated keyword,b,"The HAVING clause is used to filter the results of a GROUP BY clause, allowing you to filter based on the results of aggregate functions, which the WHERE clause cannot do."
1007,Python,hard,What is a descriptor in Python?,A function returning a function,An object attribute with binding behavior,An attribute storing only integers,A Python operator for reflection,b,"A descriptor is an object attribute with 'get', 'set', or 'delete' methods used to customize behavior of attribute access in classes."
1019,Software Engineering,easy,Which of the following is a key principle of the 'DRY' philosophy?,Develop Rapidly and Yield,Do Not Repeat Yourself,Design Right Now,Don't Rush Your Code,b,"DRY stands for Don't Repeat Yourself."" It is a software development principle aimed at reducing repetition of software patterns"
1026,Computer Networks,medium,Which layer handles session management?,Application,Session,Transport,Network,b,Session layer manages sessions and dialogs.
1037,Python,easy,"What is the output of printlen""Python""?",5,6,7,Error,b,The len function returns the number of characters in a string. 'Python' has 6 characters.
1043,SQL,medium,What is a trigger in SQL?,Temporary query,Stored procedure that runs automatically,Manual function,Transaction checkpoint,b,A trigger is a block executed automatically in response to database events.
1045,Cybersecurity,hard,What is perfect forward secrecy PFS in cryptography?,A way to compress encrypted data,A property ensuring session keys cannot be compromised even if private key is disclosed,A fast encryption method,A keyless encryption design,b,PFS ensures past sessions remain secure even if the servers private key is compromised in the future.
1048,Cybersecurity,easy,What does VPN stand for?,Virtual Privacy Node,Virtual Private Network,Virus Protection Network,Virtual Proxy Network,b,VPN secures communication over public networks by encrypting traffic.
1055,Operating Systems,easy,Which OS concept provides abstraction of hardware?,Compiler,Assembler,Operating System,User Programs,c,OS abstracts hardware details.
1056,Data Structures,easy,Which structure implements hierarchical relationships?,Array,Queue,Graph,Tree,d,Trees are used to represent hierarchical relationships in data.
1058,Data Structures,medium,What is the best data structure for implementing a priority queue?,Array,Linked List,Heap,Graph,c,Heap efficiently supports insert and extract-minmax.
1061,Database Management,easy,What is a database transaction?,A single read or write operation,A set of operations treated as a single logical unit of work,A table that stores log data,A query that only selects data,b,"A transaction is a sequence of one or more database operations that are treated as a single, atomic unit. All operations in a transaction must succeed for the transaction to be committed."
1062,Cybersecurity,hard,What is principle of non-repudiation?,Data cannot be denied,Data confidentiality,Integrity,High availability,a,Non-repudiation ensures senders cannot deny actions.
1071,Cybersecurity,medium,What does digital signature ensure?,Only confidentiality,Integrity  authenticity,Availability,Encryption,b,Digital signatures assure integrity and authentication.
1073,Web Development,hard,What is the difference between a Promise and a Callback in JavaScript?,Promises are synchronous,Callbacks are asynchronous,Promises handle asynchronous operations in a more readable way,Callbacks are a modern alternative to Promises,promises can cause 'callback hell',B
1077,Logic Design,medium,What is the function of a 'decoder' in digital logic?,To convert a binary number to its decimal equivalent,To convert a single input to multiple outputs,To convert a multiple-bit input into a single output line,To convert a decimal number to its binary equivalent,c,"A decoder is a combinational circuit that converts a multi-bit binary input into a single output line, which is selected based on the input code. For example, a 3-to-8 decoder has 3 inputs and 8 outputs."
1078,Software Engineering,hard,Which design pattern defines family of algorithms?,Factory,Observer,Strategy,Singleton,c,Strategy pattern encapsulates interchangeable algorithms.
1079,Data Structures,easy,Which of these is a linear data structure?,Tree,Graph,Queue,Trie,c,"Queue follows linear FIFO order, unlike non-linear structures."
1082,Software Testing,medium,What is the difference between a bug and a defect?,A bug is a known issue,a defect is an unknown issue,They are the same thing,A defect is a flaw in the system,and a bug is the failure of the system to perform as expected due to a defect,A bug is found by a tester
